showrange,movienm,moviecd,audicnt,showcnt,salesacc,audiacc
showrange,movienm,moviecd,NULL,NULL,NULL,NULL
20181019~20181019,스타 이즈 본,20180523,11890,542,1939023178,222702
20181019~20181019,곰돌이 푸 다시 만나 행복해,20189123,7100,370,NULL,429648
20181019~20181019,배반의 장미,20184678,6437,1235,140314150,16948
20181019~20181019,안시성,20176122,6243,414,NULL,5394191
20181019~20181019,펭귄 하이웨이,20187521,2821,469,83464600,9997
20181019~20181019,협상,20177308,2726,27,NULL,1964137
20181020~20181020,퍼스트맨,20186321,145686,5004,NULL,304106
20181020~20181020,암수살인,20179189,127843,3938,NULL,3286187
20181020~20181020,베놈,20177221,99671,2831,NULL,3586224
20181020~20181020,미쓰백,20189067,57441,1944,NULL,398125
20181020~20181020,스타 이즈 본,20180523,22844,669,NULL,245546
20181020~20181020,곰돌이 푸 다시 만나 행복해,20189123,14836,468,NULL,444484
20181020~20181020,안시성,20176122,9575,423,NULL,5403766
20181020~20181020,펭귄 하이웨이,20187521,7546,519,143505600,17543
20181020~20181020,배반의 장미,20184678,7436,994,204277650,24384
20181020~20181020,액슬,20180628,3379,317,75154400,8690
20181021~20181021,퍼스트맨,20186321,119086,4708,NULL,423192
20181021~20181021,암수살인,20179189,110590,3914,NULL,3396777
20181021~20181021,베놈,20177221,86249,2822,NULL,3672473
20181021~20181021,미쓰백,20189067,54453,1996,NULL,452578
20181021~20181021,스타 이즈 본,20180523,22155,702,NULL,267701
20181021~20181021,곰돌이 푸 다시 만나 행복해,20189123,14412,494,NULL,458896
20181021~20181021,안시성,20176122,9604,424,NULL,5413370
20181021~20181021,펭귄 하이웨이,20187521,8088,524,208911000,25631
20181021~20181021,배반의 장미,20184678,5506,893,251165850,29890
20181021~20181021,액슬,20180628,3462,305,105174100,12152
20181022~20181022,암수살인,20179189,37547,3612,NULL,3434324
20181022~20181022,퍼스트맨,20186321,33950,4039,NULL,457142
20181022~20181022,베놈,20177221,23988,2543,NULL,3696461
20181022~20181022,미쓰백,20189067,22297,2039,NULL,474875
20181022~20181022,스타 이즈 본,20180523,9869,743,NULL,277570
20181022~20181022,안시성,20176122,3936,433,NULL,5417306
20181022~20181022,곰돌이 푸 다시 만나 행복해,20189123,3746,386,NULL,462642
20181022~20181022,배반의 장미,20184678,2681,736,271349650,32571
20181022~20181022,폴란드로 간 아이들,20189281,2576,8,30834000,3558
20181022~20181022,창궐,20174981,1749,20,78277900,8604
20181023~20181023,암수살인,20179189,38051,3613,NULL,3472375
20181023~20181023,퍼스트맨,20186321,29040,3770,NULL,486182
20181023~20181023,미쓰백,20189067,23343,2077,NULL,498218
20181023~20181023,베놈,20177221,22232,2519,NULL,3718693
20181023~20181023,스타 이즈 본,20180523,10754,767,NULL,288324
20181023~20181023,안시성,20176122,5222,434,NULL,5422528
20181023~20181023,곰돌이 푸 다시 만나 행복해,20189123,3847,401,NULL,466489
20181023~20181023,완벽한 타인,20177538,3436,19,62320500,6974
20181023~20181023,배반의 장미,20184678,3176,719,294626900,35747
20181023~20181023,해리포터와 마법사의 돌,20010291,1887,16,20191000,2031
20181024~20181024,암수살인,20179189,38993,3623,NULL,3511368
20181024~20181024,퍼스트맨,20186321,33203,3519,NULL,519385
20181024~20181024,미쓰백,20189067,28354,2204,NULL,526572
20181024~20181024,베놈,20177221,23952,2531,NULL,3742645
20181024~20181024,해리포터와 마법사의 돌,20010291,17482,196,162390000,19513
20181024~20181024,스타 이즈 본,20180523,12813,812,NULL,301137
20181024~20181024,곰돌이 푸 다시 만나 행복해,20189123,4226,391,NULL,470715
20181024~20181024,완벽한 타인,20177538,4113,19,99743500,11087
20181024~20181024,안시성,20176122,4093,432,NULL,5426621
20181024~20181024,배반의 장미,20184678,3176,635,316816550,38923
20181025~20181025,창궐,20174981,156629,6237,1339235650,167999
20181025~20181025,암수살인,20179189,25072,2336,NULL,3536440
20181025~20181025,크레이지 리치 아시안,20182403,18773,1892,159172700,19605
20181025~20181025,해리포터와 마법사의 돌,20010291,17098,191,301971000,36611
20181025~20181025,미쓰백,20189067,17095,1339,NULL,543667
20181025~20181025,퍼스트맨,20186321,16455,1623,NULL,535840
20181025~20181025,베놈,20177221,12981,1405,NULL,3755626
20181025~20181025,스타 이즈 본,20180523,7595,417,NULL,308732
20181025~20181025,알리바이 닷 컴,20182748,2035,10,38732000,4354
20181025~20181025,곰돌이 푸 다시 만나 행복해,20189123,1995,121,NULL,472710
20181026~20181026,창궐,20174981,204987,6399,NULL,372986
20181026~20181026,암수살인,20179189,37941,2455,NULL,3574381
20181026~20181026,퍼스트맨,20186321,25637,1716,NULL,561477
20181026~20181026,미쓰백,20189067,25051,1467,NULL,568718
20181026~20181026,크레이지 리치 아시안,20182403,23916,1960,373630570,43521
20181026~20181026,베놈,20177221,20882,1520,NULL,3776508
20181026~20181026,해리포터와 마법사의 돌,20010291,20213,209,493876000,56824
20181026~20181026,스타 이즈 본,20180523,11644,473,NULL,320376
20181026~20181026,곰돌이 푸 다시 만나 행복해,20189123,2200,120,NULL,474910
20181026~20181026,알리바이 닷 컴,20182748,1980,10,58688000,6334
20181027~20181027,창궐,20174981,340570,6908,NULL,713556
20181027~20181027,암수살인,20179189,62589,2490,NULL,3636970
20181027~20181027,베놈,20177221,38613,1503,NULL,3815121
20181027~20181027,퍼스트맨,20186321,37173,1573,NULL,598650
20181027~20181027,미쓰백,20189067,36587,1590,NULL,605305
20181027~20181027,크레이지 리치 아시안,20182403,33762,1838,681027941,77283
20181027~20181027,해리포터와 마법사의 돌,20010291,24223,217,715044500,81047
20181027~20181027,스타 이즈 본,20180523,22452,550,NULL,342828
20181027~20181027,완벽한 타인,20177538,13057,243,224394700,24616
20181027~20181027,윌리,20181669,6008,255,73926300,9092
20181028~20181028,창궐,20174981,295422,6747,NULL,1008978
20181028~20181028,암수살인,20179189,60680,2462,NULL,3697650
20181028~20181028,베놈,20177221,36288,1472,NULL,3851409
20181028~20181028,미쓰백,20189067,35622,1564,NULL,640927
20181028~20181028,퍼스트맨,20186321,31820,1457,NULL,630470
20181028~20181028,크레이지 리치 아시안,20182403,29002,1726,944590441,106285
20181028~20181028,스타 이즈 본,20180523,24137,592,NULL,366965
20181028~20181028,해리포터와 마법사의 돌,20010291,22430,211,918094000,103477
20181028~20181028,완벽한 타인,20177538,17393,241,386022900,42009
20181028~20181028,윌리,20181669,7012,248,131468200,16104
20181029~20181029,창궐,20174981,128950,6363,NULL,1137928
20181029~20181029,암수살인,20179189,22231,2347,NULL,3719881
20181029~20181029,미쓰백,20189067,17380,1607,NULL,658307
20181029~20181029,해리포터와 마법사의 돌,20010291,15124,196,1041688000,118601
20181029~20181029,크레이지 리치 아시안,20182403,12381,1598,1043276941,118666
20181029~20181029,베놈,20177221,10942,1333,NULL,3862351
20181029~20181029,스타 이즈 본,20180523,10676,611,NULL,377641
20181029~20181029,퍼스트맨,20186321,9331,1288,NULL,639801
20181029~20181029,보헤미안 랩소디,20185485,6919,43,70847000,9466
20181029~20181029,완벽한 타인,20177538,3119,15,414861900,45128
20181030~20181030,창궐,20174981,82772,6178,NULL,1220700
20181030~20181030,암수살인,20179189,23502,2409,NULL,3743383
20181030~20181030,미쓰백,20189067,18633,1654,NULL,676940
20181030~20181030,해리포터와 마법사의 돌,20010291,14373,196,1159982500,132974
20181030~20181030,크레이지 리치 아시안,20182403,13217,1673,1147529441,131883
20181030~20181030,스타 이즈 본,20180523,12055,637,NULL,389696
20181030~20181030,베놈,20177221,11318,1355,NULL,3873669
20181030~20181030,퍼스트맨,20186321,10537,1302,NULL,650338
20181030~20181030,완벽한 타인,20177538,1982,32,429940400,47110
20181030~20181030,곰돌이 푸 다시 만나 행복해,20189123,1663,134,NULL,488794
20181031~20181031,완벽한 타인,20177538,274118,4950,2088631750,321228
20181031~20181031,보헤미안 랩소디,20185485,110477,2937,835132950,120498
20181031~20181031,창궐,20174981,93528,2824,NULL,1314228
20181031~20181031,벽 속에 숨은 마법시계,20181404,42726,2016,253219200,43257
20181031~20181031,할로윈,20180987,32534,1812,211436150,33202
20181031~20181031,해리포터와 마법사의 돌,20010291,16145,204,1282002000,149119
20181031~20181031,암수살인,20179189,12502,684,NULL,3755885
20181031~20181031,미쓰백,20189067,8644,434,NULL,685584
20181031~20181031,나츠메 우인장: 세상과 연을 맺다,20181879,7206,261,57608000,7962
20181031~20181031,스타 이즈 본,20180523,7048,231,NULL,396744
20181101~20181101,완벽한 타인,20177538,170213,5005,NULL,491441
20181101~20181101,보헤미안 랩소디,20185485,65472,3018,1401012300,185970
20181101~20181101,창궐,20174981,34487,2646,NULL,1348715
20181101~20181101,해리포터와 마법사의 돌,20010291,15432,199,1408789000,164551
20181101~20181101,벽 속에 숨은 마법시계,20181404,14831,1818,368923750,58088
20181101~20181101,할로윈,20180987,12272,1538,313790100,45474
20181101~20181101,암수살인,20179189,5028,627,NULL,3760913
20181101~20181101,미쓰백,20189067,4972,433,NULL,690556
20181101~20181101,스타 이즈 본,20180523,4889,237,NULL,401633
20181101~20181101,폴란드로 간 아이들,20189281,4876,257,120688100,16310
20181102~20181102,완벽한 타인,20177538,248122,5440,NULL,739563
20181102~20181102,보헤미안 랩소디,20185485,99555,3227,NULL,285525
20181102~20181102,창궐,20174981,41687,2657,NULL,1390402
20181102~20181102,벽 속에 숨은 마법시계,20181404,20525,1822,540856450,78613
20181102~20181102,해리포터와 마법사의 돌,20010291,19476,207,1590558500,184027
20181102~20181102,할로윈,20180987,13945,1473,444267052,59419
20181102~20181102,미쓰백,20189067,8118,441,NULL,698674
20181102~20181102,바울,20181171,5922,262,165520550,22705
20181102~20181102,스타 이즈 본,20180523,5833,248,NULL,407466
20181102~20181102,폴란드로 간 아이들,20189281,5556,256,166454600,21866
20181103~20181103,완벽한 타인,20177538,474745,6631,NULL,1214308
20181103~20181103,보헤미안 랩소디,20185485,219900,3602,NULL,505425
20181103~20181103,창궐,20174981,74884,2490,NULL,1465286
20181103~20181103,벽 속에 숨은 마법시계,20181404,48208,1835,946172200,126821
20181103~20181103,할로윈,20180987,18440,1202,618258663,77859
20181103~20181103,스타 이즈 본,20180523,9583,263,NULL,417049
20181103~20181103,바울,20181171,8799,280,240543750,31504
20181103~20181103,해리포터와 마법사의 돌,20010291,8732,107,1671802500,192759
20181103~20181103,미쓰백,20189067,6481,371,NULL,705155
20181103~20181103,암수살인,20179189,6466,440,NULL,3772516
20181104~20181104,완벽한 타인,20177538,450294,6585,NULL,1664602
20181104~20181104,보헤미안 랩소디,20185485,203898,3662,NULL,709323
20181104~20181104,창궐,20174981,58422,2317,NULL,1523708
20181104~20181104,벽 속에 숨은 마법시계,20181404,42521,1719,1303145150,169342
20181104~20181104,할로윈,20180987,12633,1060,738318013,90492
20181104~20181104,바울,20181171,11539,285,337055800,43043
20181104~20181104,해리포터와 마법사의 돌,20010291,9007,125,1754689000,201766
20181104~20181104,스타 이즈 본,20180523,8091,258,NULL,425140
20181104~20181104,캡틴 스터비,20181367,7325,341,128921050,16745
20181104~20181104,미쓰백,20189067,5625,354,NULL,710780
20181105~20181105,완벽한 타인,20177538,185179,6091,NULL,1849781
20181105~20181105,보헤미안 랩소디,20185485,80136,3584,NULL,789459
20181105~20181105,창궐,20174981,15360,2032,NULL,1539068
20181105~20181105,벽 속에 숨은 마법시계,20181404,7699,1245,1364687850,177041
20181105~20181105,바울,20181171,6587,309,386980450,49630
20181105~20181105,해리포터와 마법사의 돌,20010291,5876,160,1805123500,207642
20181105~20181105,할로윈,20180987,5200,932,781851263,95692
20181105~20181105,스타 이즈 본,20180523,4591,298,NULL,429731
20181105~20181105,미쓰백,20189067,2474,369,NULL,713254
20181105~20181105,암수살인,20179189,2442,434,NULL,3780053
20181106~20181106,완벽한 타인,20177538,179137,6161,NULL,2028918
20181106~20181106,보헤미안 랩소디,20185485,85040,3631,NULL,874499
20181106~20181106,창궐,20174981,14008,1945,NULL,1553076
20181106~20181106,바울,20181171,8222,331,448664050,57852
20181106~20181106,벽 속에 숨은 마법시계,20181404,7399,1189,1423868200,184440
20181106~20181106,해리포터와 마법사의 돌,20010291,4994,151,1848386500,212636
20181106~20181106,스타 이즈 본,20180523,4802,290,NULL,434533
20181106~20181106,할로윈,20180987,4555,843,819826763,100247
20181106~20181106,암수살인,20179189,2198,402,NULL,3782251
20181106~20181106,미쓰백,20189067,1940,363,NULL,715194
20181107~20181107,완벽한 타인,20177538,177435,6283,NULL,2206353
20181107~20181107,보헤미안 랩소디,20185485,89874,3477,NULL,964373
20181107~20181107,동네사람들,20170513,54297,3131,468622850,59028
20181107~20181107,창궐,20174981,7908,1036,NULL,1560984
20181107~20181107,바울,20181171,6236,257,494136500,64088
20181107~20181107,해리포터와 마법사의 돌,20010291,5561,186,1895899000,218197
20181107~20181107,스타 이즈 본,20180523,4045,221,NULL,438578
20181107~20181107,벽 속에 숨은 마법시계,20181404,3917,513,1452178100,188357
20181107~20181107,해피 투게더,20189869,1841,9,16569000,1841
20181107~20181107,할로윈,20180987,1644,254,833713063,101891
20181108~20181108,완벽한 타인,20177538,169783,6073,NULL,2376136
20181108~20181108,보헤미안 랩소디,20185485,94697,3383,NULL,1059070
20181108~20181108,동네사람들,20170513,51055,2867,873215450,110083
20181108~20181108,여곡성,20179006,11477,901,110015400,13063
20181108~20181108,바울,20181171,8495,247,557781650,72583
20181108~20181108,창궐,20174981,5711,772,NULL,1566695
20181108~20181108,해리포터와 마법사의 돌,20010291,5105,186,1939482500,223302
20181108~20181108,성난황소,20184481,4830,18,40012000,4830
20181108~20181108,스타 이즈 본,20180523,3243,168,NULL,441821
20181108~20181108,벽 속에 숨은 마법시계,20181404,2835,319,1471679500,191192
20181109~20181109,완벽한 타인,20177538,225144,6410,NULL,2601280
20181109~20181109,보헤미안 랩소디,20185485,150117,3725,NULL,1209187
20181109~20181109,동네사람들,20170513,53633,2833,1331185913,163716
20181109~20181109,여곡성,20179006,12119,830,219324800,25182
20181109~20181109,바울,20181171,8224,259,626593700,80807
20181109~20181109,해리포터와 마법사의 돌,20010291,7753,197,2014690500,231055
20181109~20181109,창궐,20174981,6034,740,NULL,1572729
20181109~20181109,스타 이즈 본,20180523,4379,175,NULL,446200
20181109~20181109,벽 속에 숨은 마법시계,20181404,3585,314,1498500000,194777
20181109~20181109,구스범스: 몬스터의 역습,20182693,2266,380,44927100,5404
20181110~20181110,완벽한 타인,20177538,407144,6948,NULL,3008424
20181110~20181110,보헤미안 랩소디,20185485,322326,4312,NULL,1531513
20181110~20181110,동네사람들,20170513,93877,2799,NULL,257593
20181110~20181110,여곡성,20179006,16151,681,366588800,41333
20181110~20181110,해리포터와 마법사의 돌,20010291,14889,203,NULL,245944
20181110~20181110,바울,20181171,12195,299,732079600,93002
20181110~20181110,창궐,20174981,8324,588,NULL,1581053
20181110~20181110,구스범스: 몬스터의 역습,20182693,8036,482,110396900,13440
20181110~20181110,박물관이 진짜 살아있다,20183063,7829,295,79177750,10453
20181110~20181110,벽 속에 숨은 마법시계,20181404,7828,374,1560934250,202605
20181111~20181111,완벽한 타인,20177538,367324,6793,NULL,3375748
20181111~20181111,보헤미안 랩소디,20185485,311652,4383,NULL,1843165
20181111~20181111,동네사람들,20170513,94622,2687,NULL,352215
20181111~20181111,바울,20181171,15994,320,867957850,108996
20181111~20181111,여곡성,20179006,14664,592,500277300,55997
20181111~20181111,해리포터와 마법사의 돌,20010291,13789,195,NULL,259733
20181111~20181111,박물관이 진짜 살아있다,20183063,9318,310,152424050,19771
20181111~20181111,벽 속에 숨은 마법시계,20181404,8628,364,1629652800,211233
20181111~20181111,구스범스: 몬스터의 역습,20182693,7960,425,175567500,21400
20181111~20181111,창궐,20174981,7390,560,NULL,1588443
20181112~20181112,완벽한 타인,20177538,127366,6318,NULL,3503114
20181112~20181112,보헤미안 랩소디,20185485,109370,4195,NULL,1952535
20181112~20181112,동네사람들,20170513,28349,2563,NULL,380564
20181112~20181112,바울,20181171,6996,322,922627800,115992
20181112~20181112,해리포터와 마법사의 돌,20010291,3923,188,NULL,263656
20181112~20181112,성난황소,20184481,3901,19,92837000,11420
20181112~20181112,여곡성,20179006,3832,513,532956100,59829
20181112~20181112,스타 이즈 본,20180523,2579,163,NULL,461496
20181112~20181112,창궐,20174981,2413,525,NULL,1590856
20181112~20181112,너의 췌장을 먹고 싶어,20186822,1857,10,34980000,4029
20181113~20181113,보헤미안 랩소디,20185485,119031,4235,NULL,2071566
20181113~20181113,완벽한 타인,20177538,117089,6342,NULL,3620203
20181113~20181113,동네사람들,20170513,25888,2486,NULL,406452
20181113~20181113,바울,20181171,8985,340,991375250,124977
20181113~20181113,성난황소,20184481,5137,28,135871000,16557
20181113~20181113,해리포터와 마법사의 돌,20010291,4294,188,NULL,267950
20181113~20181113,창궐,20174981,4255,490,NULL,1595111
20181113~20181113,여곡성,20179006,3266,502,560739600,63095
20181113~20181113,스타 이즈 본,20180523,2963,163,NULL,464459
20181113~20181113,신비한 동물들과 그린델왈드의 범죄,20176814,2713,9,27258000,2713
20181114~20181114,신비한 동물들과 그린델왈드의 범죄,20176814,272339,7972,NULL,275052
20181114~20181114,보헤미안 랩소디,20185485,119169,2812,NULL,2190735
20181114~20181114,완벽한 타인,20177538,117230,3637,NULL,3737433
20181114~20181114,동네사람들,20170513,10320,797,NULL,416772
20181114~20181114,출국,20182935,4830,536,54242500,6825
20181114~20181114,바울,20181171,4508,206,1025190700,129485
20181114~20181114,성난황소,20184481,2524,15,156409000,19081
20181114~20181114,나츠메 우인장: 세상과 연을 맺다,20181879,1454,53,323279300,38226
20181114~20181114,스타 이즈 본,20180523,1363,58,NULL,465822
20181114~20181114,여곡성,20179006,1109,94,569722500,64204
20181115~20181115,신비한 동물들과 그린델왈드의 범죄,20176814,221661,7772,NULL,496713
20181115~20181115,보헤미안 랩소디,20185485,131138,2595,NULL,2321873
20181115~20181115,완벽한 타인,20177538,114544,3211,NULL,3851977
20181115~20181115,번 더 스테이지: 더 무비,20183050,76800,698,616136000,76800
20181115~20181115,너의 췌장을 먹고 싶어,20186822,8615,532,102157750,13303
20181115~20181115,동네사람들,20170513,7007,537,NULL,423779
20181115~20181115,출국,20182935,5328,494,94030600,12153
20181115~20181115,바울,20181171,5191,160,1064796600,134676
20181115~20181115,해피 투게더,20189869,3191,373,39168500,5189
20181115~20181115,성난황소,20184481,2322,14,175423000,21403
20181116~20181116,신비한 동물들과 그린델왈드의 범죄,20176814,231881,7577,NULL,728594
20181116~20181116,보헤미안 랩소디,20185485,170462,3054,NULL,2492335
20181116~20181116,완벽한 타인,20177538,128960,3377,NULL,3980937
20181116~20181116,번 더 스테이지: 더 무비,20183050,41901,561,1001107100,118701
20181116~20181116,바울,20181171,7452,189,1124772800,142128
20181116~20181116,동네사람들,20170513,7070,542,NULL,430849
20181116~20181116,출국,20182935,6670,461,148937800,18823
20181116~20181116,너의 췌장을 먹고 싶어,20186822,3901,466,134781383,17204
20181116~20181116,성난황소,20184481,2879,22,199765000,24282
20181116~20181116,해피 투게더,20189869,1992,343,54308400,7181
20181117~20181117,신비한 동물들과 그린델왈드의 범죄,20176814,434010,7192,NULL,1162604
20181117~20181117,보헤미안 랩소디,20185485,326368,3818,NULL,2818703
20181117~20181117,완벽한 타인,20177538,196946,3420,NULL,4177883
20181117~20181117,번 더 스테이지: 더 무비,20183050,61237,533,1526733400,179938
20181117~20181117,성난황소,20184481,24098,495,411951100,48380
20181117~20181117,너의 췌장을 먹고 싶어,20186822,8775,418,203940205,25979
20181117~20181117,출국,20182935,8691,410,221755100,27514
20181117~20181117,바울,20181171,8182,194,1193247700,150310
20181117~20181117,동네사람들,20170513,7805,443,NULL,438654
20181117~20181117,로빈슨의 언더워터 어드벤처,20183009,4994,245,49676000,6800
20181118~20181118,신비한 동물들과 그린델왈드의 범죄,20176814,357249,6664,NULL,1519853
20181118~20181118,보헤미안 랩소디,20185485,319315,4057,NULL,3138018
20181118~20181118,완벽한 타인,20177538,172589,3366,NULL,4350472
20181118~20181118,번 더 스테이지: 더 무비,20183050,55130,529,1998118600,235068
20181118~20181118,성난황소,20184481,30226,497,682625050,78606
20181118~20181118,바울,20181171,9967,202,1276592850,160277
20181118~20181118,출국,20182935,9461,401,302031400,36975
20181118~20181118,너의 췌장을 먹고 싶어,20186822,7903,400,267425505,33882
20181118~20181118,동네사람들,20170513,6971,420,NULL,445625
20181118~20181118,로빈슨의 언더워터 어드벤처,20183009,5442,235,91436000,12242
20181119~20181119,보헤미안 랩소디,20185485,135596,4137,NULL,3273614
20181119~20181119,신비한 동물들과 그린델왈드의 범죄,20176814,88565,5924,NULL,1608418
20181119~20181119,완벽한 타인,20177538,77444,3434,NULL,4427916
20181119~20181119,번 더 스테이지: 더 무비,20183050,10996,323,2090671500,246064
20181119~20181119,출국,20182935,7589,462,358218850,44564
20181119~20181119,바울,20181171,5589,209,1318502600,165866
20181119~20181119,동네사람들,20170513,4824,444,NULL,450449
20181119~20181119,너의 췌장을 먹고 싶어,20186822,2897,408,290938005,36779
20181119~20181119,국가부도의 날,20177552,2636,11,26168000,3042
20181119~20181119,해피 투게더,20189869,1685,286,143822050,17430
20181120~20181120,보헤미안 랩소디,20185485,130475,4289,NULL,3404089
20181120~20181120,신비한 동물들과 그린델왈드의 범죄,20176814,72181,5598,NULL,1680599
20181120~20181120,완벽한 타인,20177538,69729,3416,NULL,4497645
20181120~20181120,툴리,20182669,11866,73,106096000,13166
20181120~20181120,번 더 스테이지: 더 무비,20183050,10530,318,NULL,256594
20181120~20181120,출국,20182935,8204,480,418548750,52768
20181120~20181120,바울,20181171,5738,225,1361522450,171604
20181120~20181120,동네사람들,20170513,4147,424,NULL,454596
20181120~20181120,성난황소,20184481,3833,18,719911050,83203
20181120~20181120,너의 췌장을 먹고 싶어,20186822,2386,401,308824655,39165
20181121~20181121,보헤미안 랩소디,20185485,153271,4866,NULL,3557360
20181121~20181121,신비한 동물들과 그린델왈드의 범죄,20176814,75571,4924,NULL,1756170
20181121~20181121,완벽한 타인,20177538,74473,3587,NULL,4572118
20181121~20181121,번 더 스테이지: 더 무비,20183050,7493,240,NULL,264087
20181121~20181121,출국,20182935,6067,369,463643150,58835
20181121~20181121,바울,20181171,5380,231,1398190850,176984
20181121~20181121,동네사람들,20170513,3969,382,NULL,458565
20181121~20181121,국가부도의 날,20177552,2888,19,54604000,6845
20181121~20181121,너의 췌장을 먹고 싶어,20186822,2429,297,326562755,41594
20181121~20181121,해피 투게더,20189869,2091,211,167657850,20989
20181122~20181122,성난황소,20184481,135764,4455,1794358600,220312
20181122~20181122,보헤미안 랩소디,20185485,131665,4061,NULL,3689025
20181122~20181122,신비한 동물들과 그린델왈드의 범죄,20176814,51520,2949,NULL,1807690
20181122~20181122,완벽한 타인,20177538,51202,2432,NULL,4623320
20181122~20181122,베일리 어게인,20183073,7146,581,77459100,8964
20181122~20181122,번 더 스테이지: 더 무비,20183050,4970,163,NULL,269057
20181122~20181122,바울,20181171,4512,158,1431466950,181496
20181122~20181122,출국,20182935,3728,102,495096200,62563
20181122~20181122,국가부도의 날,20177552,3663,19,87771000,10508
20181122~20181122,툴리,20182669,3020,314,132940400,16186
20181123~20181123,보헤미안 랩소디,20185485,189644,4344,NULL,3878669
20181123~20181123,성난황소,20184481,151350,4558,NULL,371662
20181123~20181123,신비한 동물들과 그린델왈드의 범죄,20176814,74067,2993,NULL,1881757
20181123~20181123,완벽한 타인,20177538,63772,2550,NULL,4687092
20181123~20181123,베일리 어게인,20183073,7312,590,141073700,16276
20181123~20181123,번 더 스테이지: 더 무비,20183050,5293,172,NULL,274350
20181123~20181123,바울,20181171,4694,160,1468833700,186190
20181123~20181123,출국,20182935,2416,110,513971650,64979
20181123~20181123,국가부도의 날,20177552,2410,14,109461000,12918
20181123~20181123,툴리,20182669,2356,283,154195400,18542
20181124~20181124,보헤미안 랩소디,20185485,395504,5013,NULL,4274173
20181124~20181124,성난황소,20184481,282197,4676,NULL,653859
20181124~20181124,신비한 동물들과 그린델왈드의 범죄,20176814,152406,2964,NULL,2034163
20181124~20181124,완벽한 타인,20177538,109493,2641,NULL,4796585
20181124~20181124,베일리 어게인,20183073,14942,543,275522600,31218
20181124~20181124,번 더 스테이지: 더 무비,20183050,12407,202,NULL,286757
20181124~20181124,바울,20181171,6580,174,1525132500,192770
20181124~20181124,캡틴 샤키,20183043,3878,200,48392900,6635
20181124~20181124,꼬마비행기 피티와 친구들:사막구출 대작전,20184514,3268,235,39758950,5465
20181124~20181124,출국,20182935,3260,106,541410800,68239
20181125~20181125,보헤미안 랩소디,20185485,370278,4946,NULL,4644451
20181125~20181125,성난황소,20184481,267159,4639,NULL,921018
20181125~20181125,신비한 동물들과 그린델왈드의 범죄,20176814,131581,2808,NULL,2165744
20181125~20181125,완벽한 타인,20177538,93769,2546,NULL,4890354
20181125~20181125,베일리 어게인,20183073,14036,533,400735500,45254
20181125~20181125,번 더 스테이지: 더 무비,20183050,11645,212,NULL,298402
20181125~20181125,바울,20181171,8990,184,1599032550,201760
20181125~20181125,캡틴 샤키,20183043,4471,205,82915050,11106
20181125~20181125,꼬마비행기 피티와 친구들:사막구출 대작전,20184514,3948,248,70728750,9413
20181125~20181125,출국,20182935,3168,108,568211850,71407
20181126~20181126,보헤미안 랩소디,20185485,135951,4594,NULL,4780402
20181126~20181126,성난황소,20184481,96214,4501,NULL,1017232
20181126~20181126,완벽한 타인,20177538,40652,2454,NULL,4931006
20181126~20181126,신비한 동물들과 그린델왈드의 범죄,20176814,35476,2525,NULL,2201220
20181126~20181126,도어락,20179230,7433,44,58119000,8843
20181126~20181126,베일리 어게인,20183073,5041,516,440841300,50295
20181126~20181126,바울,20181171,3535,172,1626033200,205295
20181126~20181126,번 더 스테이지: 더 무비,20183050,2462,157,NULL,300864
20181126~20181126,툴리,20182669,1804,251,221730700,26129
20181126~20181126,출국,20182935,1622,108,579700150,73029
20181127~20181127,보헤미안 랩소디,20185485,131835,4365,NULL,4912237
20181127~20181127,성난황소,20184481,82845,4271,NULL,1100077
20181127~20181127,완벽한 타인,20177538,38368,2386,NULL,4969374
20181127~20181127,신비한 동물들과 그린델왈드의 범죄,20176814,32107,2371,NULL,2233327
20181127~20181127,바울,20181171,5304,192,1665419500,210599
20181127~20181127,베일리 어게인,20183073,4917,508,480114200,55212
20181127~20181127,국가부도의 날,20177552,3953,22,173615300,19208
20181127~20181127,번 더 스테이지: 더 무비,20183050,2730,176,NULL,303594
20181127~20181127,도어락,20179230,2282,13,78373000,11125
20181127~20181127,툴리,20182669,1904,251,236832800,28033
20181128~20181128,국가부도의 날,20177552,301330,5726,1974265900,320538
20181128~20181128,보헤미안 랩소디,20185485,202908,3408,NULL,5115145
20181128~20181128,성난황소,20184481,83461,2467,NULL,1183538
20181128~20181128,후드,20181905,58586,2191,378012500,60784
20181128~20181128,완벽한 타인,20177538,35837,1131,NULL,5005211
20181128~20181128,신비한 동물들과 그린델왈드의 범죄,20176814,25230,866,NULL,2258557
20181128~20181128,거미줄에 걸린 소녀,20183007,5208,600,41713050,6148
20181128~20181128,베일리 어게인,20183073,4235,292,508323200,59447
20181128~20181128,바울,20181171,2261,93,1680390950,212860
20181128~20181128,번 더 스테이지: 더 무비,20183050,1766,72,NULL,305360
20181129~20181129,국가부도의 날,20177552,181581,5709,NULL,502119
20181129~20181129,보헤미안 랩소디,20185485,127482,3423,NULL,5242627
20181129~20181129,성난황소,20184481,43961,2408,NULL,1227499
20181129~20181129,후드,20181905,28957,2104,598393750,89741
20181129~20181129,완벽한 타인,20177538,22632,1033,NULL,5027843
20181129~20181129,신비한 동물들과 그린델왈드의 범죄,20176814,15663,795,NULL,2274220
20181129~20181129,거미줄에 걸린 소녀,20183007,4253,601,74165150,10401
